country_code,indicator_code,date,value,source_organization,source_dataset,source_status,release_status,observation_type
CN,GROSS_CAPITAL_FORMATION_GDP_A,2029,39.593,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_CAPITAL_FORMATION_GDP_A,2030,39.625,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_CAPITAL_FORMATION_GDP_A,2031,39.614,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_SAVINGS_GDP_A,2027,42.091,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_SAVINGS_GDP_A,2028,42.27,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_SAVINGS_GDP_A,2029,42.507,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_SAVINGS_GDP_A,2030,42.502,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_SAVINGS_GDP_A,2031,42.457,IMF,World Economic Outlook,official,final,forecast
CN,POPULATION_TOTAL_A,2027,1398713000.0,IMF,World Economic Outlook,official,final,forecast
CN,POPULATION_TOTAL_A,2028,1395198000.0,IMF,World Economic Outlook,official,final,forecast
CN,POPULATION_TOTAL_A,2029,1391374000.0,IMF,World Economic Outlook,official,final,forecast
CN,POPULATION_TOTAL_A,2030,1387277000.0,IMF,World Economic Outlook,official,final,forecast
CN,POPULATION_TOTAL_A,2031,1382906000.0,IMF,World Economic Outlook,official,final,forecast
CN,UNEMPLOYMENT_RATE_A,2027,5.1,IMF,World Economic Outlook,official,final,forecast
CN,UNEMPLOYMENT_RATE_A,2028,5.1,IMF,World Economic Outlook,official,final,forecast
CN,UNEMPLOYMENT_RATE_A,2029,5.1,IMF,World Economic Outlook,official,final,forecast
CN,UNEMPLOYMENT_RATE_A,2030,5.1,IMF,World Economic Outlook,official,final,forecast
CN,UNEMPLOYMENT_RATE_A,2031,5.1,IMF,World Economic Outlook,official,final,forecast
DE,CPI_YOY_A,2027,2.295,IMF,World Economic Outlook,official,final,forecast
DE,CPI_YOY_A,2028,1.965,IMF,World Economic Outlook,official,final,forecast
