source,source_dataset,source_indicator_code,indicator_code,standard_unit,standard_frequency,standard_seasonal_adjustment,standard_calculation,transform_rule,mapping_status,mapping_version,reviewed_by,semantic_signature
National Bureau of Statistics of China,People's Bank of China aggregate financing statistics,PBOC.TSF.FLOW.M,CN_TOTAL_SOCIAL_FINANCING_FLOW_M,100 million CNY,M,NSA,flow,identity,approved,2.1.0,EconAtlas baseline registry,money_finance|total_social_financing|flow|currency|constant_price|flow|CNY|M|NSA
National Bureau of Statistics of China,General Administration of Customs monthly trade data,GACC.EXPORTS.USD.YOY.M,CN_EXPORTS_USD_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exports|year_on_year_growth|percent|not_applicable|flow|NA|M|NSA
National Bureau of Statistics of China,General Administration of Customs monthly trade data,GACC.IMPORTS.USD.YOY.M,CN_IMPORTS_USD_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|imports|year_on_year_growth|percent|not_applicable|flow|NA|M|NSA
FRED,Federal Reserve Economic Data (derived from PPIACO),PPIACO.YOY,PPI_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|ppi|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data (aligned),NBS.PPI.YOY.M.ALIGNED,PPI_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|ppi|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
FRED,Federal Reserve Economic Data (annualized from PPIACO.YOY),PPIACO.YOY.AAVG,PPI_YOY_A,%,A,NSA,annual_average,identity,approved,2.1.0,EconAtlas baseline registry,prices|ppi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data (annualized),NBS.PPI.YOY.M.ALIGNED.AAVG,PPI_YOY_A,%,A,NSA,annual_average,identity,approved,2.1.0,EconAtlas baseline registry,prices|ppi|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
FRED,Federal Reserve Economic Data (derived from INDPRO),INDPRO.YOY,INDUSTRIAL_OUTPUT_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|industrial_output|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data (aligned),NBS.INDUSTRIAL.VALUE.ADDED.YOY.M.ALIGNED,INDUSTRIAL_OUTPUT_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|industrial_output|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
FRED,Federal Reserve Economic Data (annualized from INDPRO.YOY),INDPRO.YOY.AAVG,INDUSTRIAL_OUTPUT_YOY_A,%,A,NSA,annual_average,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|industrial_output|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data (annualized),NBS.INDUSTRIAL.VALUE.ADDED.YOY.M.ALIGNED.AAVG,INDUSTRIAL_OUTPUT_YOY_A,%,A,NSA,annual_average,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|industrial_output|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
BIS,Exchange rates (monthly average),WS_XRU.D.MAVG,EXCHANGE_RATE_USD_M,local currency per USD,M,NSA,period_average,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exchange_rate|period_average|exchange_rate|not_applicable|not_specified|USD|M|NSA
ECB,"Euro foreign exchange reference rates (monthly average, inverted)",EXR.D.USD.EUR.SP00.A.INV.MAVG,EXCHANGE_RATE_USD_M,local currency per USD,M,NSA,period_average,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exchange_rate|period_average|exchange_rate|not_applicable|not_specified|USD|M|NSA
BIS,Exchange rates (annual average),WS_XRU.D.AAVG,EXCHANGE_RATE_USD_A,local currency per USD,A,NSA,period_average,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exchange_rate|period_average|exchange_rate|not_applicable|not_specified|USD|A|NSA
ECB,"Euro foreign exchange reference rates (annual average, inverted)",EXR.D.USD.EUR.SP00.A.INV.AAVG,EXCHANGE_RATE_USD_A,local currency per USD,A,NSA,period_average,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exchange_rate|period_average|exchange_rate|not_applicable|not_specified|USD|A|NSA
